GEOID_2,total_replacements_thru_march,geoid,requires_replacement,pct_requires_replacement,total,Y,N,pct_replaced,pct_poverty,pct_hispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_minority,median_household_income,_merge,total_suspected_2021,Block Level LSLR,Breaks Leaks,CIP Sewer and Water Main,Daycare,Equity,Homeowner Initiated,total_replacements_thru_aug,pct_replaced_aug,pct_requiring_replacement_2021,majority_race
17031010701,7.0,17031010701,402.0,87.2,461.0,5.0,456.0,1.1,8.3,29.0,35.3,23.9,7.8,64.7,74208.0,both,409.0,0.0,7.0,0.0,1.0,4.0,0.0,12.0,0.029339853300733496,0.8872017353579176,no majority
17031010702,3.0,17031010702,249.0,77.8,320.0,3.0,317.0,0.9,19.0,34.4,22.4,38.3,1.0,77.6,58289.0,both,252.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.011904761904761904,0.7875,no majority
17031020100,7.0,17031020100,380.0,85.4,445.0,4.0,441.0,0.9,17.3,27.6,20.8,39.3,4.5,79.2,69850.0,both,387.0,0.0,4.0,0.0,1.0,2.0,0.0,7.0,0.01808785529715762,0.8696629213483146,no majority
17031020200,27.0,17031020200,1580.0,92.9,1701.0,20.0,1681.0,1.2,5.4,29.0,45.8,6.2,13.5,54.2,115559.0,both,1607.0,0.0,22.0,0.0,0.0,5.0,9.0,36.0,0.0224019912881145,0.9447383891828336,no majority
17031020301,15.0,17031020301,510.0,83.2,613.0,14.0,599.0,2.3,13.2,4.4,81.2,2.0,9.2,18.8,76327.0,both,525.0,0.0,8.0,0.0,0.0,8.0,3.0,19.0,0.03619047619047619,0.8564437194127243,white
17031020302,10.0,17031020302,658.0,91.1,722.0,7.0,715.0,1.0,7.5,11.8,71.2,7.1,8.2,28.8,81563.0,both,668.0,0.0,7.0,0.0,2.0,6.0,1.0,16.0,0.023952095808383235,0.925207756232687,white
17031020400,6.0,17031020400,492.0,84.0,586.0,5.0,581.0,0.9,15.5,28.8,35.6,24.8,7.6,64.4,81840.0,both,498.0,0.0,4.0,0.0,0.0,1.0,2.0,7.0,0.014056224899598393,0.8498293515358362,no majority
17031020500,2.0,17031020500,367.0,88.2,416.0,2.0,414.0,0.5,32.8,16.8,19.8,16.8,29.4,80.2,46458.0,both,369.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.005420054200542005,0.8870192307692307,no majority
17031020601,14.0,17031020601,746.0,89.8,831.0,11.0,820.0,1.3,32.6,15.0,46.7,3.0,22.9,53.3,62015.0,both,760.0,0.0,18.0,0.0,0.0,4.0,0.0,22.0,0.02894736842105263,0.914560770156438,no majority
17031020602,9.0,17031020602,697.0,94.4,738.0,5.0,733.0,0.7,14.6,27.5,32.1,8.8,29.1,67.9,87804.0,both,706.0,0.0,8.0,0.0,0.0,3.0,1.0,12.0,0.0169971671388102,0.9566395663956639,no majority
17031020701,9.0,17031020701,439.0,86.6,507.0,9.0,498.0,1.8,8.7,15.0,54.4,6.8,18.5,45.6,101250.0,both,448.0,0.0,11.0,0.0,0.0,0.0,2.0,13.0,0.029017857142857144,0.883629191321499,white
17031020702,12.0,17031020702,794.0,89.4,888.0,7.0,881.0,0.8,14.0,24.4,35.1,4.8,34.3,64.9,76812.0,both,806.0,0.0,17.0,0.0,1.0,4.0,0.0,22.0,0.02729528535980149,0.9076576576576577,no majority
17031020801,18.0,17031020801,944.0,92.4,1022.0,16.0,1006.0,1.6,11.2,24.2,47.9,13.5,9.7,52.1,73151.0,both,962.0,0.0,11.0,0.0,4.0,6.0,2.0,23.0,0.02390852390852391,0.9412915851272016,no majority
17031020802,19.0,17031020802,802.0,92.1,871.0,15.0,856.0,1.7,14.2,29.2,24.0,4.4,34.0,76.0,70044.0,both,821.0,0.0,18.0,7.0,1.0,5.0,2.0,33.0,0.040194884287454324,0.9425947187141217,no majority
17031020901,5.0,17031020901,399.0,92.8,430.0,3.0,427.0,0.7,25.6,26.0,21.4,24.8,24.4,78.6,52378.0,both,404.0,0.0,5.0,0.0,2.0,1.0,0.0,8.0,0.019801980198019802,0.9395348837209302,no majority
17031020902,1.0,17031020902,180.0,72.3,249.0,1.0,248.0,0.4,27.5,12.9,33.7,14.4,36.7,66.3,47963.0,both,181.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0055248618784530384,0.7269076305220884,no majority
17031030102,1.0,17031030102,40.0,53.3,75.0,1.0,74.0,1.3,24.4,12.6,44.1,15.9,25.9,55.9,59622.0,both,41.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.024390243902439025,0.5466666666666666,no majority
17031030103,1.0,17031030103,13.0,38.2,34.0,0.0,34.0,0.0,26.4,23.5,47.0,11.8,13.3,53.0,55651.0,both,14.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.14285714285714285,0.4117647058823529,no majority
17031030200,14.0,17031030200,814.0,84.6,962.0,15.0,947.0,1.6,11.4,25.0,59.3,2.8,6.4,40.7,103758.0,both,828.0,0.0,11.0,0.0,1.0,3.0,7.0,22.0,0.026570048309178744,0.8607068607068608,white
17031030300,7.0,17031030300,376.0,85.8,438.0,5.0,433.0,1.1,10.3,22.7,32.3,19.0,20.0,67.7,67143.0,both,383.0,0.0,4.0,1.0,0.0,2.0,1.0,8.0,0.020887728459530026,0.8744292237442922,no majority
17031030400,7.0,17031030400,276.0,59.6,463.0,7.0,456.0,1.5,13.1,21.1,59.0,5.5,11.9,41.0,97442.0,both,283.0,0.0,5.0,0.0,0.0,0.0,3.0,8.0,0.028268551236749116,0.6112311015118791,white
17031030500,13.0,17031030500,665.0,82.6,805.0,11.0,794.0,1.4,4.2,19.7,59.9,5.6,3.0,40.1,123464.0,both,678.0,0.0,13.0,35.0,0.0,1.0,3.0,52.0,0.07669616519174041,0.8422360248447205,white
17031030601,1.0,17031030601,41.0,48.2,85.0,1.0,84.0,1.2,17.5,7.2,42.9,26.2,16.9,57.1,51136.0,both,42.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.047619047619047616,0.49411764705882355,no majority
17031030603,2.0,17031030603,43.0,55.8,77.0,1.0,76.0,1.3,12.9,12.5,46.1,26.2,12.3,53.9,54415.0,both,45.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.044444444444444446,0.5844155844155844,no majority
17031030701,1.0,17031030701,17.0,39.5,43.0,1.0,42.0,2.3,19.7,12.9,45.7,33.2,5.6,54.3,51625.0,both,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,0.4186046511627907,no majority
17031030703,1.0,17031030703,82.0,46.3,177.0,2.0,175.0,1.1,19.8,18.9,51.0,13.5,10.2,49.0,68861.0,both,83.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.04819277108433735,0.4689265536723164,white
17031030706,1.0,17031030706,7.0,21.2,33.0,0.0,33.0,0.0,7.8,3.6,60.7,14.6,15.7,39.3,50431.0,both,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.125,0.24242424242424243,white
17031030800,27.0,17031030800,605.0,75.1,806.0,25.0,781.0,3.1,8.7,11.0,68.4,4.3,5.8,31.6,96719.0,both,632.0,0.0,15.0,0.0,0.0,0.0,20.0,35.0,0.055379746835443035,0.7841191066997518,white
17031030900,9.0,17031030900,474.0,78.9,601.0,9.0,592.0,1.5,4.4,10.1,71.5,4.0,7.5,28.5,97375.0,both,483.0,0.0,5.0,0.0,0.0,0.0,6.0,11.0,0.022774327122153208,0.8036605657237936,white
17031031000,10.0,17031031000,356.0,66.5,535.0,8.0,527.0,1.5,5.3,18.7,62.9,2.7,11.9,37.1,117114.0,both,366.0,0.0,5.0,0.0,0.0,1.0,5.0,11.0,0.030054644808743168,0.6841121495327103,white
17031031100,15.0,17031031100,371.0,74.8,496.0,13.0,483.0,2.6,16.4,9.9,58.1,13.6,10.5,41.9,83352.0,both,386.0,0.0,13.0,0.0,0.0,0.0,7.0,20.0,0.05181347150259067,0.7782258064516129,white
17031031200,3.0,17031031200,104.0,39.4,264.0,2.0,262.0,0.8,35.6,21.6,26.4,39.3,9.5,73.6,27869.0,both,107.0,0.0,3.0,0.0,2.0,0.0,0.0,5.0,0.04672897196261682,0.4053030303030303,no majority
17031031300,5.0,17031031300,101.0,52.1,194.0,4.0,190.0,2.1,20.1,13.8,54.9,11.3,15.6,45.1,65617.0,both,106.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,0.04716981132075472,0.5463917525773195,white
17031031400,4.0,17031031400,78.0,54.9,142.0,4.0,138.0,2.8,4.9,8.9,70.9,6.6,10.6,29.1,87500.0,both,82.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.06097560975609756,0.5774647887323944,white
17031031501,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,no majority
17031031502,1.0,17031031502,48.0,44.9,107.0,1.0,106.0,0.9,40.4,10.0,41.3,38.4,5.9,58.7,47674.0,both,49.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.04081632653061224,0.45794392523364486,no majority
17031031700,5.0,17031031700,258.0,62.6,412.0,4.0,408.0,1.0,10.2,11.3,65.5,13.6,4.8,34.5,82774.0,both,263.0,0.0,3.0,0.0,1.0,0.0,3.0,7.0,0.026615969581749048,0.6383495145631068,white
17031031800,4.0,17031031800,142.0,54.2,262.0,2.0,260.0,0.8,13.4,15.4,53.4,4.4,13.3,46.6,86159.0,both,146.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0273972602739726,0.5572519083969466,white
17031031900,5.0,17031031900,184.0,62.4,295.0,4.0,291.0,1.4,4.2,8.8,73.4,7.2,4.3,26.6,92208.0,both,189.0,0.0,3.0,11.0,0.0,0.0,2.0,16.0,0.08465608465608465,0.6406779661016949,white
17031032100,2.0,17031032100,190.0,61.9,307.0,1.0,306.0,0.3,14.7,21.6,46.7,15.9,12.5,53.3,71804.0,both,192.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.010416666666666666,0.6254071661237784,no majority
17031040100,17.0,17031040100,569.0,70.3,809.0,20.0,789.0,2.5,5.2,17.6,62.8,11.6,2.7,37.2,94318.0,both,586.0,0.0,7.0,0.0,1.0,1.0,12.0,21.0,0.03583617747440273,0.7243510506798516,white
17031040201,25.0,17031040201,738.0,75.0,984.0,21.0,963.0,2.1,9.2,18.0,70.9,2.9,5.6,29.1,103409.0,both,763.0,0.0,15.0,0.0,0.0,2.0,11.0,28.0,0.03669724770642202,0.7754065040650406,white
17031040202,10.0,17031040202,622.0,90.3,689.0,7.0,682.0,1.0,18.4,33.2,33.0,5.7,18.1,67.0,62500.0,both,632.0,0.0,9.0,0.0,0.0,3.0,3.0,15.0,0.023734177215189875,0.9172714078374455,no majority
17031040300,8.0,17031040300,583.0,91.5,637.0,5.0,632.0,0.8,14.6,21.0,46.8,3.3,24.3,53.2,79896.0,both,591.0,0.0,10.0,0.0,0.0,0.0,4.0,14.0,0.023688663282571912,0.9277864992150706,no majority
17031040401,14.0,17031040401,524.0,79.0,663.0,10.0,653.0,1.5,5.7,25.9,56.7,2.6,7.6,43.3,103750.0,both,538.0,0.0,10.0,0.0,1.0,3.0,7.0,21.0,0.03903345724907063,0.8114630467571644,white
17031040402,5.0,17031040402,326.0,60.5,539.0,6.0,533.0,1.1,7.7,17.1,73.9,3.0,2.5,26.1,94541.0,both,331.0,0.0,4.0,0.0,0.0,0.0,5.0,9.0,0.027190332326283987,0.614100185528757,white
17031040600,5.0,17031040600,320.0,71.6,447.0,7.0,440.0,1.6,8.3,17.5,69.0,5.6,1.4,31.0,90921.0,both,325.0,0.0,3.0,0.0,0.0,0.0,4.0,7.0,0.021538461538461538,0.727069351230425,white
17031040700,16.0,17031040700,405.0,80.7,502.0,14.0,488.0,2.8,8.1,8.9,71.6,2.7,10.1,28.4,109205.0,both,421.0,0.0,6.0,0.0,1.0,2.0,11.0,20.0,0.047505938242280284,0.8386454183266933,white
17031040800,13.0,17031040800,230.0,81.9,281.0,12.0,269.0,4.3,4.2,13.3,72.5,1.6,6.6,27.5,110179.0,both,243.0,0.0,6.0,0.0,0.0,2.0,6.0,14.0,0.05761316872427984,0.8647686832740213,white
17031040900,4.0,17031040900,208.0,61.5,338.0,5.0,333.0,1.5,3.7,12.7,76.7,2.5,3.2,23.3,92167.0,both,212.0,0.0,5.0,0.0,0.0,0.0,1.0,6.0,0.02830188679245283,0.6272189349112426,white
17031050100,5.0,17031050100,302.0,66.7,453.0,10.0,443.0,2.2,3.6,9.5,82.6,2.3,3.4,17.4,114063.0,both,307.0,0.0,4.0,0.0,0.0,0.0,5.0,9.0,0.029315960912052116,0.6777041942604857,white
17031050200,8.0,17031050200,703.0,60.3,1165.0,6.0,1159.0,0.5,4.7,15.5,72.6,1.0,6.8,27.4,124167.0,both,711.0,0.0,6.0,0.0,0.0,0.0,4.0,10.0,0.014064697609001406,0.6103004291845494,white
17031050300,14.0,17031050300,446.0,66.7,669.0,14.0,655.0,2.1,4.7,21.5,51.9,1.0,17.5,48.1,166681.0,both,460.0,0.0,12.0,0.0,0.0,2.0,4.0,18.0,0.0391304347826087,0.6875934230194319,white
17031050500,24.0,17031050500,658.0,61.8,1065.0,19.0,1046.0,1.8,1.8,6.6,84.2,0.0,6.0,15.8,144250.0,both,682.0,0.0,10.0,0.0,0.0,0.0,18.0,28.0,0.04105571847507331,0.64037558685446,white
17031050600,4.0,17031050600,251.0,59.5,422.0,3.0,419.0,0.7,5.7,8.1,79.8,0.8,5.2,20.2,114940.0,both,255.0,0.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0196078431372549,0.6042654028436019,white
17031050700,6.0,17031050700,207.0,70.9,292.0,6.0,286.0,2.1,8.8,11.7,83.3,0.3,1.3,16.7,130699.0,both,213.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,0.028169014084507043,0.7294520547945206,white
17031050800,4.0,17031050800,180.0,53.1,339.0,2.0,337.0,0.6,1.8,22.8,63.7,2.3,3.2,36.3,157813.0,both,184.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0,0.02717391304347826,0.5427728613569321,white
17031050900,6.0,17031050900,191.0,62.6,305.0,4.0,301.0,1.3,3.9,15.6,75.6,0.5,3.3,24.4,136053.0,both,197.0,0.0,6.0,0.0,0.0,0.0,2.0,8.0,0.04060913705583756,0.6459016393442623,white
17031051000,5.0,17031051000,181.0,58.2,311.0,3.0,308.0,1.0,3.1,8.5,70.6,6.1,8.9,29.4,184464.0,both,186.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.03225806451612903,0.5980707395498392,white
17031051100,4.0,17031051100,155.0,45.6,340.0,2.0,338.0,0.6,7.7,20.0,68.8,0.4,5.2,31.2,181827.0,both,159.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.025157232704402517,0.4676470588235294,white
17031051300,6.0,17031051300,233.0,39.2,594.0,4.0,590.0,0.7,1.6,15.5,74.8,3.5,0.9,25.2,199890.0,both,239.0,0.0,8.0,0.0,0.0,0.0,1.0,9.0,0.03765690376569038,0.40235690235690236,white
17031051400,1.0,17031051400,190.0,45.2,420.0,1.0,419.0,0.2,8.6,16.6,63.6,7.4,11.0,36.4,150357.0,both,191.0,0.0,2.0,8.0,0.0,0.0,0.0,10.0,0.05235602094240838,0.45476190476190476,white
17031060100,7.0,17031060100,243.0,50.7,479.0,6.0,473.0,1.3,2.7,8.5,75.5,1.2,8.8,24.5,145313.0,both,250.0,0.0,3.0,13.0,0.0,1.0,3.0,20.0,0.08,0.5219206680584552,white
17031060200,5.0,17031060200,204.0,60.9,335.0,3.0,332.0,0.9,6.4,15.8,71.0,6.3,2.8,29.0,91081.0,both,209.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,0.03349282296650718,0.6238805970149254,white
17031060300,15.0,17031060300,391.0,60.5,646.0,15.0,631.0,2.3,3.4,13.1,75.8,1.7,7.4,24.2,139306.0,both,406.0,0.0,4.0,0.0,0.0,0.0,14.0,18.0,0.04433497536945813,0.628482972136223,white
17031060400,3.0,17031060400,241.0,45.0,536.0,2.0,534.0,0.4,3.8,8.8,79.0,1.5,4.9,21.0,154038.0,both,244.0,0.0,3.0,0.0,0.0,1.0,0.0,4.0,0.01639344262295082,0.4552238805970149,white
17031060500,3.0,17031060500,88.0,46.1,191.0,3.0,188.0,1.6,23.4,10.9,74.2,7.2,7.8,25.8,60987.0,both,91.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.03296703296703297,0.47643979057591623,white
17031060800,1.0,17031060800,34.0,47.2,72.0,0.0,72.0,0.0,10.4,11.1,62.3,7.9,13.7,37.7,83534.0,both,35.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,0.4861111111111111,white
17031060900,2.0,17031060900,38.0,39.6,96.0,1.0,95.0,1.0,7.8,12.0,75.5,2.8,5.4,24.5,86987.0,both,40.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.05,0.4166666666666667,white
17031061000,2.0,17031061000,104.0,54.5,191.0,3.0,188.0,1.6,12.2,8.4,68.5,1.6,17.5,31.5,116500.0,both,106.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,0.05660377358490566,0.5549738219895288,white
17031061100,2.0,17031061100,112.0,54.9,204.0,2.0,202.0,1.0,5.3,19.2,72.9,3.0,2.3,27.1,123750.0,both,114.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.017543859649122806,0.5588235294117647,white
17031061200,4.0,17031061200,189.0,60.6,312.0,2.0,310.0,0.6,6.3,15.9,71.4,5.6,1.6,28.6,118398.0,both,193.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.02072538860103627,0.6185897435897436,white
17031061500,6.0,17031061500,196.0,70.3,279.0,8.0,271.0,2.9,5.2,5.9,79.8,4.2,3.4,20.2,126101.0,both,202.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.039603960396039604,0.7240143369175627,white
17031061901,4.0,17031061901,57.0,49.1,116.0,3.0,113.0,2.6,21.6,12.4,71.1,8.8,4.8,28.9,67063.0,both,61.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.06557377049180328,0.5258620689655172,white
17031062000,7.0,17031062000,143.0,55.9,256.0,6.0,250.0,2.3,10.8,10.3,76.9,4.6,3.5,23.1,133514.0,both,150.0,0.0,6.0,0.0,0.0,0.0,2.0,8.0,0.05333333333333334,0.5859375,white
17031062100,2.0,17031062100,193.0,54.7,353.0,1.0,352.0,0.3,7.8,9.0,78.6,3.9,7.7,21.4,92313.0,both,195.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.015384615384615385,0.5524079320113314,white
17031062200,2.0,17031062200,200.0,38.0,526.0,0.0,526.0,0.0,8.3,12.6,80.0,0.4,4.6,20.0,172841.0,both,202.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.01485148514851485,0.3840304182509506,white
17031062300,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,,no majority
17031062400,2.0,17031062400,136.0,48.6,280.0,1.0,279.0,0.4,9.0,8.1,80.3,3.3,3.5,19.7,158542.0,both,138.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.021739130434782608,0.4928571428571429,white
17031062500,2.0,17031062500,125.0,49.8,251.0,2.0,249.0,0.8,11.3,13.3,74.6,0.5,10.4,25.4,169917.0,both,127.0,0.0,3.0,0.0,0.0,0.0,4.0,7.0,0.05511811023622047,0.5059760956175299,white
17031062600,3.0,17031062600,134.0,33.6,399.0,4.0,395.0,1.0,4.2,9.3,74.5,1.4,8.8,25.5,177045.0,both,137.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0364963503649635,0.3433583959899749,white
17031062700,3.0,17031062700,299.0,49.8,600.0,3.0,597.0,0.5,8.7,6.9,74.8,1.6,8.8,25.2,136667.0,both,302.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.013245033112582781,0.5033333333333333,white
17031062800,4.0,17031062800,339.0,46.8,724.0,4.0,720.0,0.6,2.7,13.5,76.7,0.8,4.5,23.3,166741.0,both,343.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,0.01749271137026239,0.47375690607734805,white
17031062900,9.0,17031062900,385.0,60.9,632.0,8.0,624.0,1.3,2.4,10.8,69.7,5.7,6.6,30.3,181429.0,both,394.0,0.0,2.0,0.0,0.0,0.0,8.0,10.0,0.025380710659898477,0.6234177215189873,white
17031063000,5.0,17031063000,180.0,56.4,319.0,4.0,315.0,1.3,10.0,7.5,78.1,3.3,6.1,21.9,103250.0,both,185.0,0.0,4.0,0.0,0.0,1.0,1.0,6.0,0.032432432432432434,0.5799373040752351,white
17031063100,1.0,17031063100,106.0,54.1,196.0,0.0,196.0,0.0,8.3,7.0,79.5,2.8,5.0,20.5,97347.0,both,107.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.009345794392523364,0.5459183673469388,white
17031063200,5.0,17031063200,75.0,48.1,156.0,4.0,152.0,2.6,2.5,8.3,74.9,7.1,3.6,25.1,77183.0,both,80.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.075,0.5128205128205128,white
17031063301,1.0,17031063301,34.0,49.3,69.0,1.0,68.0,1.4,19.7,8.7,70.8,6.1,9.0,29.2,69188.0,both,35.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,0.5072463768115942,white
17031063302,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,no majority
17031063303,2.0,17031063303,2.0,22.2,9.0,2.0,7.0,22.2,10.1,1.3,80.7,1.6,14.1,19.3,104813.0,both,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.4444444444444444,white
17031063400,2.0,17031063400,108.0,56.0,193.0,2.0,191.0,1.0,5.1,10.6,77.8,5.3,6.3,22.2,116765.0,both,110.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.02727272727272727,0.5699481865284974,white
17031070101,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,,no majority
17031070102,3.0,17031070102,58.0,43.9,132.0,2.0,130.0,1.5,4.9,5.5,78.3,4.1,7.0,21.7,106062.0,both,61.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.04918032786885246,0.4621212121212121,white
17031070103,1.0,17031070103,60.0,69.0,87.0,3.0,84.0,3.4,13.4,6.3,69.2,8.7,6.1,30.8,76477.0,both,61.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01639344262295082,0.7011494252873564,white
17031070200,8.0,17031070200,264.0,52.3,505.0,4.0,501.0,0.8,6.7,11.0,72.0,3.0,8.3,28.0,101992.0,both,272.0,0.0,4.0,0.0,0.0,0.0,7.0,11.0,0.04044117647058824,0.5386138613861386,white
17031070300,4.0,17031070300,253.0,49.5,511.0,3.0,508.0,0.6,9.9,6.2,77.7,2.1,9.3,22.3,178750.0,both,257.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.019455252918287938,0.50293542074364,white
17031070400,5.0,17031070400,242.0,42.7,567.0,4.0,563.0,0.7,13.6,6.2,80.7,0.9,8.6,19.3,205772.0,both,247.0,0.0,4.0,0.0,0.0,0.0,3.0,7.0,0.02834008097165992,0.43562610229276894,white
17031070500,19.0,17031070500,228.0,41.8,545.0,10.0,535.0,1.8,1.4,8.3,79.5,5.2,2.7,20.5,194408.0,both,247.0,0.0,2.0,16.0,0.0,0.0,2.0,20.0,0.08097165991902834,0.45321100917431195,white
17031070600,3.0,17031070600,194.0,30.2,642.0,2.0,640.0,0.3,4.3,5.3,82.0,0.2,8.1,18.0,210469.0,both,197.0,0.0,3.0,6.0,0.0,0.0,1.0,10.0,0.050761421319796954,0.3068535825545171,white
17031070700,5.0,17031070700,178.0,36.0,494.0,3.0,491.0,0.6,10.8,13.2,59.4,7.6,17.6,40.6,146806.0,both,183.0,0.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0273224043715847,0.37044534412955465,white
17031071000,7.0,17031071000,255.0,57.7,442.0,5.0,437.0,1.1,5.6,6.5,79.5,5.5,5.9,20.5,186518.0,both,262.0,0.0,6.0,0.0,0.0,0.0,2.0,8.0,0.030534351145038167,0.5927601809954751,white
17031071100,2.0,17031071100,383.0,70.0,547.0,3.0,544.0,0.5,8.9,10.3,77.0,1.2,6.5,23.0,212677.0,both,385.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.01038961038961039,0.7038391224862889,white
17031071200,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,,no majority
17031071300,5.0,17031071300,344.0,71.2,483.0,5.0,478.0,1.0,14.6,7.1,71.8,0.1,13.3,28.2,127083.0,both,349.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,0.017191977077363897,0.722567287784679,white
17031071400,2.0,17031071400,111.0,55.5,200.0,2.0,198.0,1.0,17.0,6.8,81.5,4.8,5.3,18.5,123070.0,both,113.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.035398230088495575,0.565,white
