completed_month_year,program,replacements
1-08-25,Homeowner Initiated,5
1-09-21,Equity,5
1-09-22,Homeowner Initiated,1
1-09-22,Equity,26
1-09-23,Breaks Leaks,166
1-09-23,CIP Sewer and Water Main,11
1-09-23,Daycare,8
1-09-23,Equity,92
1-09-23,Homeowner Initiated,38
1-09-24,Homeowner Initiated,44
1-09-24,Equity,73
1-09-24,CIP Sewer and Water Main,47
1-09-24,Breaks Leaks,281
1-09-24,Block Level LSLR,2
1-09-24,Daycare,31
1-09-25,Block Level LSLR,65
1-09-25,Breaks Leaks,307
1-09-25,CIP Sewer and Water Main,165
1-09-25,Daycare,27
1-09-25,Equity,33
1-09-25,Homeowner Initiated,47
1-10-21,Equity,5
1-10-22,Homeowner Initiated,1
1-10-22,Equity,27
1-10-23,Breaks Leaks,81
1-10-23,CIP Sewer and Water Main,23
1-10-23,Daycare,10
1-10-23,Equity,92
1-10-23,Homeowner Initiated,39
1-10-24,Equity,96
1-10-24,Daycare,10
1-10-24,CIP Sewer and Water Main,57
1-10-24,Breaks Leaks,351
1-10-24,Homeowner Initiated,34
1-10-25,CIP Sewer and Water Main,167
1-10-25,Breaks Leaks,348
1-10-25,Block Level LSLR,76
1-10-25,Equity,44
1-10-25,Homeowner Initiated,35
1-10-25,Daycare,25
1-11-21,Equity,7
1-11-22,Homeowner Initiated,2
1-11-22,Equity,40
1-11-22,Breaks Leaks,18
1-11-23,CIP Sewer and Water Main,4
1-11-23,Daycare,14
1-11-23,Equity,44
1-11-23,Homeowner Initiated,27
1-11-23,Breaks Leaks,181
1-11-24,Daycare,19
1-11-24,Homeowner Initiated,32
1-11-24,Equity,101
1-11-24,Block Level LSLR,1
1-11-24,CIP Sewer and Water Main,33
1-11-24,Breaks Leaks,331
1-11-25,Homeowner Initiated,26
1-11-25,Equity,39
1-11-25,Block Level LSLR,72
1-11-25,Breaks Leaks,288
1-11-25,CIP Sewer and Water Main,99
1-11-25,Daycare,11
1-12-21,Equity,3
1-12-22,Daycare,2
1-12-22,Breaks Leaks,23
1-12-22,Homeowner Initiated,8
1-12-22,Equity,49
1-12-23,Homeowner Initiated,29
1-12-23,Equity,22
1-12-23,Block Level LSLR,1
1-12-23,CIP Sewer and Water Main,2
1-12-23,Breaks Leaks,297
1-12-23,Daycare,18
1-12-24,Block Level LSLR,26
1-12-24,Breaks Leaks,392
1-12-24,CIP Sewer and Water Main,7
1-12-24,Equity,103
1-12-24,Homeowner Initiated,10
1-12-24,Daycare,29
1-12-25,Block Level LSLR,68
1-12-25,Breaks Leaks,249
1-12-25,CIP Sewer and Water Main,184
1-12-25,Daycare,15
1-12-25,Equity,38
1-12-25,Homeowner Initiated,21
