,LSLR Program,Public or Consumer,Work Address,Status,Zip,Ward,Date Completed,program,ZIP,BOTH AS REQUIRED or Consumer,Type of Service,completed_year,completed_month_year,completed_day,clean_address,id,program_clean_address,full_address,row,classification_for_entire_service_line,stnum1,stnum2,stdir,stname,sttype,zip,geocoder,lat,long,geoid,matched_address,m_is_intersection,_merge
10,,CONSUMER,7426 S LOWE AVE,Completed,,17.0,2025-12-30 00:00:00,Daycare Private,60621.0,,Daycares,2025.0,12/2025,12-30,7426 S LOWE AVE,15,Daycare Private 7426 S LOWE AVE,,,,,,,,,,,,,,,,left_only
11,Breaks & Leaks LSLR,PUBLIC,4835 N KARLOV AVE,Completed,,39.0,2025-12-30 00:00:00,Breaks Leaks,60630.0,,,2025.0,12/2025,12-30,4835 N KARLOV AVE,17,Breaks Leaks 4835 N KARLOV AVE,,,,,,,,,,,,,,,,left_only
12,Breaks & Leaks LSLR,CONSUMER,4835 N KARLOV AVE,Completed,,39.0,2025-12-30 00:00:00,Breaks Leaks,60630.0,,,2025.0,12/2025,12-30,4835 N KARLOV AVE,20,Breaks Leaks 4835 N KARLOV AVE,,,,,,,,,,,,,,,,left_only
13,CIP SM LSLR,PUBLIC,456 W 33RD ST,Completed,,11.0,2025-12-30 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-30,456 W 33RD ST,21,CIP Sewer Main 456 W 33RD ST,,,,,,,,,,,,,,,,left_only
14,Daycares,PUBLIC,7426 S LOWE AVE,Completed,,17.0,2025-12-30 00:00:00,Daycare Public,60621.0,,,2025.0,12/2025,12-30,7426 S LOWE AVE,22,Daycare Public 7426 S LOWE AVE,,,,,,,,,,,,,,,,left_only
15,CIP WM LSLR,PUBLIC,11442 S VINCENNES AVE,Completed,,19.0,2025-12-30 00:00:00,CIP Water Main,60643.0,,,2025.0,12/2025,12-30,11442 S VINCENNES AVE,23,CIP Water Main 11442 S VINCENNES AVE,,,,,,,,,,,,,,,,left_only
16,Breaks & Leaks LSLR,CONSUMER,7010 N OZARK AVE,Completed,,41.0,2025-12-30 00:00:00,Breaks Leaks,60631.0,,,2025.0,12/2025,12-30,7010 N OZARK AVE,24,Breaks Leaks 7010 N OZARK AVE,,,,,,,,,,,,,,,,left_only
17,Breaks & Leaks LSLR,CONSUMER,7222 S LAFAYETTE AVE,Completed,,6.0,2025-12-30 00:00:00,Breaks Leaks,60621.0,,,2025.0,12/2025,12-30,7222 S LAFAYETTE AVE,25,Breaks Leaks 7222 S LAFAYETTE AVE,,,,,,,,,,,,,,,,left_only
18,Breaks & Leaks LSLR,CONSUMER,7200 S TROY ST,Completed,,18.0,2025-12-30 00:00:00,Breaks Leaks,60629.0,,,2025.0,12/2025,12-30,7200 S TROY ST,27,Breaks Leaks 7200 S TROY ST,,,,,,,,,,,,,,,,left_only
19,CIP WM LSLR,CONSUMER,922 N ST LOUIS AVE,Completed,,27.0,2025-12-30 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-30,922 N ST LOUIS AVE,28,CIP Water Main 922 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
20,CIP WM LSLR,PUBLIC,922 N ST LOUIS AVE,Completed,,27.0,2025-12-30 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-30,922 N ST LOUIS AVE,29,CIP Water Main 922 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
21,Breaks & Leaks LSLR,PUBLIC,7200 S TROY ST,Completed,,18.0,2025-12-30 00:00:00,Breaks Leaks,60629.0,,,2025.0,12/2025,12-30,7200 S TROY ST,30,Breaks Leaks 7200 S TROY ST,,,,,,,,,,,,,,,,left_only
22,Breaks & Leaks LSLR,PUBLIC,7010 N OZARK AVE,Completed,,41.0,2025-12-30 00:00:00,Breaks Leaks,60631.0,,,2025.0,12/2025,12-30,7010 N OZARK AVE,31,Breaks Leaks 7010 N OZARK AVE,,,,,,,,,,,,,,,,left_only
23,Breaks & Leaks LSLR,PUBLIC,264 W 23RD PL,Completed,,11.0,2025-12-30 00:00:00,Breaks Leaks,60616.0,,,2025.0,12/2025,12-30,264 W 23RD PL,32,Breaks Leaks 264 W 23RD PL,,,,,,,,,,,,,,,,left_only
24,Breaks & Leaks LSLR,CONSUMER,6536 W 64TH ST,Completed,,13.0,2025-12-30 00:00:00,Breaks Leaks,60638.0,,,2025.0,12/2025,12-30,6536 W 64TH ST,33,Breaks Leaks 6536 W 64TH ST,,,,,,,,,,,,,,,,left_only
25,CIP SM LSLR,PUBLIC,4650 W ADAMS ST,Completed,,28.0,2025-12-30 00:00:00,CIP Sewer Main,60644.0,,,2025.0,12/2025,12-30,4650 W ADAMS ST,34,CIP Sewer Main 4650 W ADAMS ST,,,,,,,,,,,,,,,,left_only
26,Equity LSLR,BOTH AS REQUIRED,139 E 123RD ST,Completed,,9.0,2025-12-30 00:00:00,Equity,60628.0,,,2025.0,12/2025,12-30,139 E 123RD ST,35,Equity 139 E 123RD ST,,,,,,,,,,,,,,,,left_only
27,Breaks & Leaks LSLR,PUBLIC,2335 W MONROE ST,Completed,,27.0,2025-12-30 00:00:00,Breaks Leaks,60612.0,,,2025.0,12/2025,12-30,2335 W MONROE ST,36,Breaks Leaks 2335 W MONROE ST,,,,,,,,,,,,,,,,left_only
28,Breaks & Leaks LSLR,CONSUMER,2335 W MONROE ST,Completed,,27.0,2025-12-30 00:00:00,Breaks Leaks,60612.0,,,2025.0,12/2025,12-30,2335 W MONROE ST,37,Breaks Leaks 2335 W MONROE ST,,,,,,,,,,,,,,,,left_only
29,CIP SM LSLR,CONSUMER,4650 W ADAMS ST,Completed,,28.0,2025-12-30 00:00:00,CIP Sewer Main,60644.0,,,2025.0,12/2025,12-30,4650 W ADAMS ST,38,CIP Sewer Main 4650 W ADAMS ST,,,,,,,,,,,,,,,,left_only
30,Breaks & Leaks LSLR,PUBLIC,3740 N PLAINFIELD AVE,Completed,,38.0,2025-12-30 00:00:00,Breaks Leaks,60634.0,,,2025.0,12/2025,12-30,3740 N PLAINFIELD AVE,39,Breaks Leaks 3740 N PLAINFIELD AVE,,,,,,,,,,,,,,,,left_only
31,Equity LSLR,BOTH AS REQUIRED,10300 S AVENUE M,Completed,,10.0,2025-12-30 00:00:00,Equity,60617.0,,,2025.0,12/2025,12-30,10300 S AVENUE M,40,Equity 10300 S AVENUE M,,,,,,,,,,,,,,,,left_only
32,Breaks & Leaks LSLR,CONSUMER,5505 N NAGLE AVE,Completed,,41.0,2025-12-30 00:00:00,Breaks Leaks,60630.0,,,2025.0,12/2025,12-30,5505 N NAGLE AVE,42,Breaks Leaks 5505 N NAGLE AVE,,,,,,,,,,,,,,,,left_only
33,CIP SM LSLR,PUBLIC,3104 S CANAL ST,Completed,,11.0,2025-12-30 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-30,3104 S CANAL ST,43,CIP Sewer Main 3104 S CANAL ST,,,,,,,,,,,,,,,,left_only
34,Breaks & Leaks LSLR,CONSUMER,2729 W WILCOX ST,Completed,,27.0,2025-12-29 16:44:00,Breaks Leaks,60612.0,,,2025.0,12/2025,12-29,2729 W WILCOX ST,45,Breaks Leaks 2729 W WILCOX ST,,,,,,,,,,,,,,,,left_only
35,Breaks & Leaks LSLR,CONSUMER,212 S TROY ST,Completed,,28.0,2025-12-29 16:33:00,Breaks Leaks,60612.0,,,2025.0,12/2025,12-29,212 S TROY ST,46,Breaks Leaks 212 S TROY ST,,,,,,,,,,,,,,,,left_only
36,Breaks & Leaks LSLR,CONSUMER,2433 W CORTEZ ST,Completed,,36.0,2025-12-29 16:32:00,Breaks Leaks,60622.0,,,2025.0,12/2025,12-29,2433 W CORTEZ ST,47,Breaks Leaks 2433 W CORTEZ ST,,,,,,,,,,,,,,,,left_only
37,Breaks & Leaks LSLR,CONSUMER,5241 N ASHLAND AVE,Completed,,40.0,2025-12-29 16:17:00,Breaks Leaks,60640.0,,,2025.0,12/2025,12-29,5241 N ASHLAND AVE,48,Breaks Leaks 5241 N ASHLAND AVE,,,,,,,,,,,,,,,,left_only
38,CIP SM LSLR,CONSUMER,3228 S CANAL ST,Completed,,11.0,2025-12-29 10:57:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-29,3228 S CANAL ST,49,CIP Sewer Main 3228 S CANAL ST,,,,,,,,,,,,,,,,left_only
39,CIP SM LSLR,PUBLIC,3228 S CANAL ST,Completed,,11.0,2025-12-29 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-29,3228 S CANAL ST,50,CIP Sewer Main 3228 S CANAL ST,,,,,,,,,,,,,,,,left_only
40,Breaks & Leaks LSLR,PUBLIC,6729 N WASHTENAW AVE,Completed,,50.0,2025-12-29 00:00:00,Breaks Leaks,60645.0,,,2025.0,12/2025,12-29,6729 N WASHTENAW AVE,51,Breaks Leaks 6729 N WASHTENAW AVE,,,,,,,,,,,,,,,,left_only
41,CIP WM LSLR,PUBLIC,1040 N ST LOUIS AVE,Completed,,36.0,2025-12-29 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-29,1040 N ST LOUIS AVE,52,CIP Water Main 1040 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
42,CIP WM LSLR,CONSUMER,1041 N ST LOUIS AVE,Completed,,36.0,2025-12-29 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-29,1041 N ST LOUIS AVE,54,CIP Water Main 1041 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
43,Breaks & Leaks LSLR,PUBLIC,2433 W CORTEZ ST,Completed,,36.0,2025-12-29 00:00:00,Breaks Leaks,60622.0,,,2025.0,12/2025,12-29,2433 W CORTEZ ST,55,Breaks Leaks 2433 W CORTEZ ST,,,,,,,,,,,,,,,,left_only
44,Breaks & Leaks LSLR,CONSUMER,1641 W FOSTER AVE,Completed,,40.0,2025-12-29 00:00:00,Breaks Leaks,60640.0,,,2025.0,12/2025,12-29,1641 W FOSTER AVE,56,Breaks Leaks 1641 W FOSTER AVE,,,,,,,,,,,,,,,,left_only
45,CIP WM LSLR,CONSUMER,2103 W FLETCHER ST,Completed,,32.0,2025-12-29 00:00:00,CIP Water Main,60618.0,,,2025.0,12/2025,12-29,2103 W FLETCHER ST,57,CIP Water Main 2103 W FLETCHER ST,,,,,,,,,,,,,,,,left_only
46,CIP WM LSLR,PUBLIC,2103 W FLETCHER ST,Completed,,32.0,2025-12-29 00:00:00,CIP Water Main,60618.0,,,2025.0,12/2025,12-29,2103 W FLETCHER ST,58,CIP Water Main 2103 W FLETCHER ST,,,,,,,,,,,,,,,,left_only
47,Daycares,PUBLIC,8714 S JEFFERY BLVD,Completed,,8.0,2025-12-29 00:00:00,Daycare Public,60617.0,,,2025.0,12/2025,12-29,8714 S JEFFERY BLVD,59,Daycare Public 8714 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
48,Equity LSLR,BOTH AS REQUIRED,8243 S BUFFALO AVE,Completed,,7.0,2025-12-29 00:00:00,Equity,60617.0,,,2025.0,12/2025,12-29,8243 S BUFFALO AVE,60,Equity 8243 S BUFFALO AVE,,,,,,,,,,,,,,,,left_only
49,CIP WM LSLR,CONSUMER,1040 N ST LOUIS AVE,Completed,,36.0,2025-12-29 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-29,1040 N ST LOUIS AVE,61,CIP Water Main 1040 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
50,Breaks & Leaks LSLR,PUBLIC,5241 N ASHLAND AVE,Completed,,40.0,2025-12-29 00:00:00,Breaks Leaks,60640.0,,,2025.0,12/2025,12-29,5241 N ASHLAND AVE,62,Breaks Leaks 5241 N ASHLAND AVE,,,,,,,,,,,,,,,,left_only
51,CIP SM LSLR,CONSUMER,3259 S CANAL ST,Completed,,11.0,2025-12-29 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-29,3259 S CANAL ST,63,CIP Sewer Main 3259 S CANAL ST,,,,,,,,,,,,,,,,left_only
52,Breaks & Leaks LSLR,PUBLIC,212 S TROY ST,Completed,,28.0,2025-12-29 00:00:00,Breaks Leaks,60612.0,,,2025.0,12/2025,12-29,212 S TROY ST,64,Breaks Leaks 212 S TROY ST,,,,,,,,,,,,,,,,left_only
53,Daycares,PUBLIC,6841 S PAULINA ST,Completed,,17.0,2025-12-29 00:00:00,Daycare Public,60636.0,,,2025.0,12/2025,12-29,6841 S PAULINA ST,65,Daycare Public 6841 S PAULINA ST,,,,,,,,,,,,,,,,left_only
54,CIP WM LSLR,CONSUMER,1042 N ST LOUIS AVE,Completed,,36.0,2025-12-29 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-29,1042 N ST LOUIS AVE,66,CIP Water Main 1042 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
55,Breaks & Leaks LSLR,PUBLIC,10805 S EDBROOKE AVE,Completed,,9.0,2025-12-29 00:00:00,Breaks Leaks,60628.0,,,2025.0,12/2025,12-29,10805 S EDBROOKE AVE,67,Breaks Leaks 10805 S EDBROOKE AVE,,,,,,,,,,,,,,,,left_only
56,Breaks & Leaks LSLR,CONSUMER,10805 S EDBROOKE AVE,Completed,,9.0,2025-12-29 00:00:00,Breaks Leaks,60628.0,,,2025.0,12/2025,12-29,10805 S EDBROOKE AVE,68,Breaks Leaks 10805 S EDBROOKE AVE,,,,,,,,,,,,,,,,left_only
57,CIP WM LSLR,PUBLIC,1042 N ST LOUIS AVE,Completed,,36.0,2025-12-29 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-29,1042 N ST LOUIS AVE,69,CIP Water Main 1042 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
58,CIP WM LSLR,PUBLIC,1041 N ST LOUIS AVE,Completed,,36.0,2025-12-29 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-29,1041 N ST LOUIS AVE,70,CIP Water Main 1041 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
59,Breaks & Leaks LSLR,PUBLIC,2311 W 18TH PL,Completed,,25.0,2025-12-29 00:00:00,Breaks Leaks,60608.0,,,2025.0,12/2025,12-29,2311 W 18TH PL,71,Breaks Leaks 2311 W 18TH PL,,,,,,,,,,,,,,,,left_only
60,Breaks & Leaks LSLR,CONSUMER,2311 W 18TH PL,Completed,,25.0,2025-12-29 00:00:00,Breaks Leaks,60608.0,,,2025.0,12/2025,12-29,2311 W 18TH PL,72,Breaks Leaks 2311 W 18TH PL,,,,,,,,,,,,,,,,left_only
61,Breaks & Leaks LSLR,CONSUMER,11014 S DRAKE AVE,Completed,,19.0,2025-12-29 00:00:00,Breaks Leaks,60655.0,,,2025.0,12/2025,12-29,11014 S DRAKE AVE,73,Breaks Leaks 11014 S DRAKE AVE,,,,,,,,,,,,,,,,left_only
62,Breaks & Leaks LSLR,PUBLIC,11014 S DRAKE AVE,Completed,,19.0,2025-12-29 00:00:00,Breaks Leaks,60655.0,,,2025.0,12/2025,12-29,11014 S DRAKE AVE,74,Breaks Leaks 11014 S DRAKE AVE,,,,,,,,,,,,,,,,left_only
63,Breaks & Leaks LSLR,PUBLIC,2729 W WILCOX ST,Completed,,27.0,2025-12-29 00:00:00,Breaks Leaks,60612.0,,,2025.0,12/2025,12-29,2729 W WILCOX ST,75,Breaks Leaks 2729 W WILCOX ST,,,,,,,,,,,,,,,,left_only
64,CIP WM LSLR,PUBLIC,1054 N ST LOUIS AVE,Completed,,36.0,2025-12-29 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-29,1054 N ST LOUIS AVE,77,CIP Water Main 1054 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
65,Breaks & Leaks LSLR,PUBLIC,1641 W FOSTER AVE,Completed,,40.0,2025-12-29 00:00:00,Breaks Leaks,60640.0,,,2025.0,12/2025,12-29,1641 W FOSTER AVE,78,Breaks Leaks 1641 W FOSTER AVE,,,,,,,,,,,,,,,,left_only
66,Breaks & Leaks LSLR,PUBLIC,8024 S UNION AVE,Completed,,6.0,2025-12-29 00:00:00,Breaks Leaks,60620.0,,,2025.0,12/2025,12-29,8024 S UNION AVE,79,Breaks Leaks 8024 S UNION AVE,,,,,,,,,,,,,,,,left_only
67,CIP SM LSLR,PUBLIC,3247 S CANAL ST,Completed,,11.0,2025-12-29 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-29,3247 S CANAL ST,81,CIP Sewer Main 3247 S CANAL ST,,,,,,,,,,,,,,,,left_only
68,,CONSUMER,8714 S JEFFERY BLVD,Completed,,8.0,2025-12-29 00:00:00,Daycare Private,60617.0,,Daycares,2025.0,12/2025,12-29,8714 S JEFFERY BLVD,82,Daycare Private 8714 S JEFFERY BLVD,,,,,,,,,,,,,,,,left_only
69,CIP WM LSLR,CONSUMER,1054 N ST LOUIS AVE,Completed,,36.0,2025-12-29 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-29,1054 N ST LOUIS AVE,83,CIP Water Main 1054 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
70,,CONSUMER,6841 S PAULINA ST,Completed,,17.0,2025-12-29 00:00:00,Daycare Private,60636.0,,Daycares,2025.0,12/2025,12-29,6841 S PAULINA ST,84,Daycare Private 6841 S PAULINA ST,,,,,,,,,,,,,,,,left_only
71,Breaks & Leaks LSLR,CONSUMER,8024 S UNION AVE,Completed,,6.0,2025-12-29 00:00:00,Breaks Leaks,60620.0,,,2025.0,12/2025,12-29,8024 S UNION AVE,85,Breaks Leaks 8024 S UNION AVE,,,,,,,,,,,,,,,,left_only
72,CIP SM LSLR,CONSUMER,3247 S CANAL ST,Completed,,11.0,2025-12-29 00:00:00,CIP Sewer Main,60616.0,,,2025.0,12/2025,12-29,3247 S CANAL ST,86,CIP Sewer Main 3247 S CANAL ST,,,,,,,,,,,,,,,,left_only
73,Breaks & Leaks LSLR,CONSUMER,1941 W WELLINGTON AVE,Completed,,32.0,2025-12-24 00:00:00,Breaks Leaks,60657.0,,,2025.0,12/2025,12-24,1941 W WELLINGTON AVE,88,Breaks Leaks 1941 W WELLINGTON AVE,,,,,,,,,,,,,,,,left_only
74,Breaks & Leaks LSLR,CONSUMER,4950 W GEORGE ST,Completed,,31.0,2025-12-23 16:14:00,Breaks Leaks,60641.0,,,2025.0,12/2025,12-23,4950 W GEORGE ST,89,Breaks Leaks 4950 W GEORGE ST,,,,,,,,,,,,,,,,left_only
75,Breaks & Leaks LSLR,CONSUMER,8752 56 S COMMERCIAL AVE,Completed,,10.0,2025-12-23 10:29:00,Breaks Leaks,60617.0,,,2025.0,12/2025,12-23,8752 S COMMERCIAL AVE,90,Breaks Leaks 8752 S COMMERCIAL AVE,,,,,,,,,,,,,,,,left_only
76,CIP WM LSLR,CONSUMER,211 N KOLIN AVE,Completed,,28.0,2025-12-23 09:51:00,CIP Water Main,60624.0,,,2025.0,12/2025,12-23,211 N KOLIN AVE,91,CIP Water Main 211 N KOLIN AVE,,,,,,,,,,,,,,,,left_only
77,CIP WM LSLR,CONSUMER,1030 N ST LOUIS AVE,Completed,,36.0,2025-12-23 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-23,1030 N ST LOUIS AVE,92,CIP Water Main 1030 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
78,Breaks & Leaks LSLR,CONSUMER,219 N KARLOV AVE,Completed,,28.0,2025-12-23 00:00:00,Breaks Leaks,60624.0,,,2025.0,12/2025,12-23,219 N KARLOV AVE,93,Breaks Leaks 219 N KARLOV AVE,,,,,,,,,,,,,,,,left_only
79,Breaks & Leaks LSLR,CONSUMER,5017 W CULLOM AVE,Completed,,45.0,2025-12-23 00:00:00,Breaks Leaks,60641.0,,,2025.0,12/2025,12-23,5017 W CULLOM AVE,94,Breaks Leaks 5017 W CULLOM AVE,,,,,,,,,,,,,,,,left_only
80,Breaks & Leaks LSLR,CONSUMER,7808 S KENWOOD AVE,Completed,,8.0,2025-12-23 00:00:00,Breaks Leaks,60619.0,,,2025.0,12/2025,12-23,7808 S KENWOOD AVE,96,Breaks Leaks 7808 S KENWOOD AVE,,,,,,,,,,,,,,,,left_only
81,Daycares,PUBLIC,1263 W 74TH ST,Completed,,17.0,2025-12-23 00:00:00,Daycare Public,60636.0,,,2025.0,12/2025,12-23,1263 W 74TH ST,97,Daycare Public 1263 W 74TH ST,,,,,,,,,,,,,,,,left_only
82,Breaks & Leaks LSLR,CONSUMER,6305 N LAWNDALE AVE,Completed,,50.0,2025-12-23 00:00:00,Breaks Leaks,60659.0,,,2025.0,12/2025,12-23,6305 N LAWNDALE AVE,98,Breaks Leaks 6305 N LAWNDALE AVE,,,,,,,,,,,,,,,,left_only
83,Breaks & Leaks LSLR,PUBLIC,7808 S KENWOOD AVE,Completed,,8.0,2025-12-23 00:00:00,Breaks Leaks,60619.0,,,2025.0,12/2025,12-23,7808 S KENWOOD AVE,99,Breaks Leaks 7808 S KENWOOD AVE,,,,,,,,,,,,,,,,left_only
84,Breaks & Leaks LSLR,PUBLIC,1234 W ELMDALE AVE,Completed,,48.0,2025-12-23 00:00:00,Breaks Leaks,60660.0,,,2025.0,12/2025,12-23,1234 W ELMDALE AVE,100,Breaks Leaks 1234 W ELMDALE AVE,,,,,,,,,,,,,,,,left_only
85,CIP WM LSLR,PUBLIC,2500 W 38TH ST,Completed,,12.0,2025-12-23 00:00:00,CIP Water Main,60632.0,,,2025.0,12/2025,12-23,2500 W 38TH ST,101,CIP Water Main 2500 W 38TH ST,,,,,,,,,,,,,,,,left_only
86,Breaks & Leaks LSLR,CONSUMER,1234 W ELMDALE AVE,Completed,,48.0,2025-12-23 00:00:00,Breaks Leaks,60660.0,,,2025.0,12/2025,12-23,1234 W ELMDALE AVE,102,Breaks Leaks 1234 W ELMDALE AVE,,,,,,,,,,,,,,,,left_only
87,CIP WM LSLR,CONSUMER,2500 W 38TH ST,Completed,,12.0,2025-12-23 00:00:00,CIP Water Main,60632.0,,,2025.0,12/2025,12-23,2500 W 38TH ST,103,CIP Water Main 2500 W 38TH ST,,,,,,,,,,,,,,,,left_only
88,CIP WM LSLR,PUBLIC,1030 N ST LOUIS AVE,Completed,,36.0,2025-12-23 00:00:00,CIP Water Main,60651.0,,,2025.0,12/2025,12-23,1030 N ST LOUIS AVE,104,CIP Water Main 1030 N ST LOUIS AVE,,,,,,,,,,,,,,,,left_only
89,Breaks & Leaks LSLR,PUBLIC,219 N KARLOV AVE,Completed,,28.0,2025-12-23 00:00:00,Breaks Leaks,60624.0,,,2025.0,12/2025,12-23,219 N KARLOV AVE,105,Breaks Leaks 219 N KARLOV AVE,,,,,,,,,,,,,,,,left_only
90,CIP WM LSLR,CONSUMER,8320 S PAULINA ST,Completed,,18.0,2025-12-23 00:00:00,CIP Water Main,60620.0,,,2025.0,12/2025,12-23,8320 S PAULINA ST,106,CIP Water Main 8320 S PAULINA ST,,,,,,,,,,,,,,,,left_only
91,CIP WM LSLR,PUBLIC,8320 S PAULINA ST,Completed,,18.0,2025-12-23 00:00:00,CIP Water Main,60620.0,,,2025.0,12/2025,12-23,8320 S PAULINA ST,107,CIP Water Main 8320 S PAULINA ST,,,,,,,,,,,,,,,,left_only
92,CIP WM LSLR,PUBLIC,8353 S PAULINA ST,Completed,,18.0,2025-12-23 00:00:00,CIP Water Main,60620.0,,,2025.0,12/2025,12-23,8353 S PAULINA ST,108,CIP Water Main 8353 S PAULINA ST,,,,,,,,,,,,,,,,left_only
93,CIP WM LSLR,CONSUMER,8353 S PAULINA ST,Completed,,18.0,2025-12-23 00:00:00,CIP Water Main,60620.0,,,2025.0,12/2025,12-23,8353 S PAULINA ST,109,CIP Water Main 8353 S PAULINA ST,,,,,,,,,,,,,,,,left_only
94,Breaks & Leaks LSLR,PUBLIC,10920 S HOYNE AVE,Completed,,19.0,2025-12-23 00:00:00,Breaks Leaks,60643.0,,,2025.0,12/2025,12-23,10920 S HOYNE AVE,110,Breaks Leaks 10920 S HOYNE AVE,,,,,,,,,,,,,,,,left_only
95,Breaks & Leaks LSLR,CONSUMER,10920 S HOYNE AVE,Completed,,19.0,2025-12-23 00:00:00,Breaks Leaks,60643.0,,,2025.0,12/2025,12-23,10920 S HOYNE AVE,111,Breaks Leaks 10920 S HOYNE AVE,,,,,,,,,,,,,,,,left_only
96,Breaks & Leaks LSLR,PUBLIC,2105 W 83RD ST,Completed,,18.0,2025-12-23 00:00:00,Breaks Leaks,60620.0,,,2025.0,12/2025,12-23,2105 W 83RD ST,112,Breaks Leaks 2105 W 83RD ST,,,,,,,,,,,,,,,,left_only
