,program,Public or Consumer,Work Address,Status,ZIP,Ward,Date Completed,completed_year,completed_month_year,completed_day,clean_address,id,program_clean_address,full_address
717,Block Level LSLR,PUBLIC,7559 S MARSHFIELD AVE,Completed,60620,17,2025-12-17 00:00:00,2025.0,12/2025,12-17,7559 S MARSHFIELD AVE,19,Block Level LSLR 7559 S MARSHFIELD AVE,"7559 S MARSHFIELD AVE, CHICAGO, IL 60620"
716,Block Level LSLR,CONSUMER,7559 S MARSHFIELD AVE,Completed,60620,17,2025-12-17 00:00:00,2025.0,12/2025,12-17,7559 S MARSHFIELD AVE,20,Block Level LSLR 7559 S MARSHFIELD AVE,"7559 S MARSHFIELD AVE, CHICAGO, IL 60620"
431,Block Level LSLR,PUBLIC,5940 S CAMPBELL AVE,Completed,60629,16,2025-12-16 00:00:00,2025.0,12/2025,12-16,5940 S CAMPBELL AVE,21,Block Level LSLR 5940 S CAMPBELL AVE,"5940 S CAMPBELL AVE, CHICAGO, IL 60629"
465,Block Level LSLR,PUBLIC,5952 S CAMPBELL AVE,Completed,60629,16,2025-12-16 00:00:00,2025.0,12/2025,12-16,5952 S CAMPBELL AVE,22,Block Level LSLR 5952 S CAMPBELL AVE,"5952 S CAMPBELL AVE, CHICAGO, IL 60629"
711,Block Level LSLR,PUBLIC,7554 S MARSHFIELD AVE,Completed,60620,17,2025-12-16 00:00:00,2025.0,12/2025,12-16,7554 S MARSHFIELD AVE,23,Block Level LSLR 7554 S MARSHFIELD AVE,"7554 S MARSHFIELD AVE, CHICAGO, IL 60620"
464,Block Level LSLR,CONSUMER,5952 S CAMPBELL AVE,Completed,60629,16,2025-12-16 00:00:00,2025.0,12/2025,12-16,5952 S CAMPBELL AVE,24,Block Level LSLR 5952 S CAMPBELL AVE,"5952 S CAMPBELL AVE, CHICAGO, IL 60629"
712,Block Level LSLR,CONSUMER,7555 S MARSHFIELD AVE,Completed,60620,17,2025-12-16 00:00:00,2025.0,12/2025,12-16,7555 S MARSHFIELD AVE,25,Block Level LSLR 7555 S MARSHFIELD AVE,"7555 S MARSHFIELD AVE, CHICAGO, IL 60620"
430,Block Level LSLR,CONSUMER,5940 S CAMPBELL AVE,Completed,60629,16,2025-12-16 00:00:00,2025.0,12/2025,12-16,5940 S CAMPBELL AVE,26,Block Level LSLR 5940 S CAMPBELL AVE,"5940 S CAMPBELL AVE, CHICAGO, IL 60629"
713,Block Level LSLR,PUBLIC,7555 S MARSHFIELD AVE,Completed,60620,17,2025-12-16 00:00:00,2025.0,12/2025,12-16,7555 S MARSHFIELD AVE,27,Block Level LSLR 7555 S MARSHFIELD AVE,"7555 S MARSHFIELD AVE, CHICAGO, IL 60620"
470,Block Level LSLR,CONSUMER,5955 S CAMPBELL AVE,Completed,60629,16,2025-12-16 00:00:00,2025.0,12/2025,12-16,5955 S CAMPBELL AVE,28,Block Level LSLR 5955 S CAMPBELL AVE,"5955 S CAMPBELL AVE, CHICAGO, IL 60629"
471,Block Level LSLR,PUBLIC,5955 S CAMPBELL AVE,Completed,60629,16,2025-12-16 00:00:00,2025.0,12/2025,12-16,5955 S CAMPBELL AVE,29,Block Level LSLR 5955 S CAMPBELL AVE,"5955 S CAMPBELL AVE, CHICAGO, IL 60629"
702,Block Level LSLR,PUBLIC,7547 S MARSHFIELD AVE,Completed,60620,17,2025-12-16 00:00:00,2025.0,12/2025,12-16,7547 S MARSHFIELD AVE,30,Block Level LSLR 7547 S MARSHFIELD AVE,"7547 S MARSHFIELD AVE, CHICAGO, IL 60620"
707,Block Level LSLR,PUBLIC,7550 S MARSHFIELD AVE,Completed,60620,17,2025-12-16 00:00:00,2025.0,12/2025,12-16,7550 S MARSHFIELD AVE,31,Block Level LSLR 7550 S MARSHFIELD AVE,"7550 S MARSHFIELD AVE, CHICAGO, IL 60620"
710,Block Level LSLR,CONSUMER,7554 S MARSHFIELD AVE,Completed,60620,17,2025-12-16 00:00:00,2025.0,12/2025,12-16,7554 S MARSHFIELD AVE,32,Block Level LSLR 7554 S MARSHFIELD AVE,"7554 S MARSHFIELD AVE, CHICAGO, IL 60620"
703,Block Level LSLR,CONSUMER,7547 S MARSHFIELD AVE,Completed,60620,17,2025-12-15 12:34:00,2025.0,12/2025,12-15,7547 S MARSHFIELD AVE,33,Block Level LSLR 7547 S MARSHFIELD AVE,"7547 S MARSHFIELD AVE, CHICAGO, IL 60620"
706,Block Level LSLR,CONSUMER,7550 S MARSHFIELD AVE,Completed,60620,17,2025-12-15 00:00:00,2025.0,12/2025,12-15,7550 S MARSHFIELD AVE,34,Block Level LSLR 7550 S MARSHFIELD AVE,"7550 S MARSHFIELD AVE, CHICAGO, IL 60620"
445,Block Level LSLR,PUBLIC,5944 S CAMPBELL AVE,Completed,60629,16,2025-12-12 00:00:00,2025.0,12/2025,12-12,5944 S CAMPBELL AVE,35,Block Level LSLR 5944 S CAMPBELL AVE,"5944 S CAMPBELL AVE, CHICAGO, IL 60629"
440,Block Level LSLR,CONSUMER,5943 S CAMPBELL AVE,Completed,60629,16,2025-12-12 00:00:00,2025.0,12/2025,12-12,5943 S CAMPBELL AVE,36,Block Level LSLR 5943 S CAMPBELL AVE,"5943 S CAMPBELL AVE, CHICAGO, IL 60629"
441,Block Level LSLR,PUBLIC,5943 S CAMPBELL AVE,Completed,60629,16,2025-12-12 00:00:00,2025.0,12/2025,12-12,5943 S CAMPBELL AVE,37,Block Level LSLR 5943 S CAMPBELL AVE,"5943 S CAMPBELL AVE, CHICAGO, IL 60629"
444,Block Level LSLR,CONSUMER,5944 S CAMPBELL AVE,Completed,60629,16,2025-12-12 00:00:00,2025.0,12/2025,12-12,5944 S CAMPBELL AVE,38,Block Level LSLR 5944 S CAMPBELL AVE,"5944 S CAMPBELL AVE, CHICAGO, IL 60629"
708,Block Level LSLR,CONSUMER,7551 S MARSHFIELD AVE,Completed,60620,17,2025-12-12 00:00:00,2025.0,12/2025,12-12,7551 S MARSHFIELD AVE,39,Block Level LSLR 7551 S MARSHFIELD AVE,"7551 S MARSHFIELD AVE, CHICAGO, IL 60620"
714,Block Level LSLR,CONSUMER,7558 S MARSHFIELD AVE,Completed,60620,17,2025-12-12 00:00:00,2025.0,12/2025,12-12,7558 S MARSHFIELD AVE,41,Block Level LSLR 7558 S MARSHFIELD AVE,"7558 S MARSHFIELD AVE, CHICAGO, IL 60620"
715,Block Level LSLR,PUBLIC,7558 S MARSHFIELD AVE,Completed,60620,17,2025-12-12 00:00:00,2025.0,12/2025,12-12,7558 S MARSHFIELD AVE,42,Block Level LSLR 7558 S MARSHFIELD AVE,"7558 S MARSHFIELD AVE, CHICAGO, IL 60620"
709,Block Level LSLR,PUBLIC,7551 S MARSHFIELD AVE,Completed,60620,17,2025-12-12 00:00:00,2025.0,12/2025,12-12,7551 S MARSHFIELD AVE,43,Block Level LSLR 7551 S MARSHFIELD AVE,"7551 S MARSHFIELD AVE, CHICAGO, IL 60620"
401,Block Level LSLR,CONSUMER,5927 S CAMPBELL AVE,Completed,60629,16,2025-12-11 00:00:00,2025.0,12/2025,12-11,5927 S CAMPBELL AVE,44,Block Level LSLR 5927 S CAMPBELL AVE,"5927 S CAMPBELL AVE, CHICAGO, IL 60629"
896,Block Level LSLR,CONSUMER,7952 S JEFFERY BLVD,Completed,60617,8,2025-12-11 00:00:00,2025.0,12/2025,12-11,7952 S JEFFERY BLVD,45,Block Level LSLR 7952 S JEFFERY BLVD,"7952 S JEFFERY BLVD, CHICAGO, IL 60617"
379,Block Level LSLR,CONSUMER,5918 S CAMPBELL AVE,Completed,60629,16,2025-12-11 00:00:00,2025.0,12/2025,12-11,5918 S CAMPBELL AVE,46,Block Level LSLR 5918 S CAMPBELL AVE,"5918 S CAMPBELL AVE, CHICAGO, IL 60629"
701,Block Level LSLR,PUBLIC,7546 S MARSHFIELD AVE,Completed,60620,17,2025-12-11 00:00:00,2025.0,12/2025,12-11,7546 S MARSHFIELD AVE,47,Block Level LSLR 7546 S MARSHFIELD AVE,"7546 S MARSHFIELD AVE, CHICAGO, IL 60620"
700,Block Level LSLR,CONSUMER,7546 S MARSHFIELD AVE,Completed,60620,17,2025-12-11 00:00:00,2025.0,12/2025,12-11,7546 S MARSHFIELD AVE,48,Block Level LSLR 7546 S MARSHFIELD AVE,"7546 S MARSHFIELD AVE, CHICAGO, IL 60620"
380,Block Level LSLR,PUBLIC,5918 S CAMPBELL AVE,Completed,60629,16,2025-12-11 00:00:00,2025.0,12/2025,12-11,5918 S CAMPBELL AVE,49,Block Level LSLR 5918 S CAMPBELL AVE,"5918 S CAMPBELL AVE, CHICAGO, IL 60629"
425,Block Level LSLR,PUBLIC,5937 S CAMPBELL AVE,Completed,60629,16,2025-12-11 00:00:00,2025.0,12/2025,12-11,5937 S CAMPBELL AVE,50,Block Level LSLR 5937 S CAMPBELL AVE,"5937 S CAMPBELL AVE, CHICAGO, IL 60629"
424,Block Level LSLR,CONSUMER,5937 S CAMPBELL AVE,Completed,60629,16,2025-12-11 00:00:00,2025.0,12/2025,12-11,5937 S CAMPBELL AVE,51,Block Level LSLR 5937 S CAMPBELL AVE,"5937 S CAMPBELL AVE, CHICAGO, IL 60629"
696,Block Level LSLR,CONSUMER,7544 S MARSHFIELD AVE,Completed,60620,17,2025-12-11 00:00:00,2025.0,12/2025,12-11,7544 S MARSHFIELD AVE,52,Block Level LSLR 7544 S MARSHFIELD AVE,"7544 S MARSHFIELD AVE, CHICAGO, IL 60620"
697,Block Level LSLR,PUBLIC,7544 S MARSHFIELD AVE,Completed,60620,17,2025-12-11 00:00:00,2025.0,12/2025,12-11,7544 S MARSHFIELD AVE,53,Block Level LSLR 7544 S MARSHFIELD AVE,"7544 S MARSHFIELD AVE, CHICAGO, IL 60620"
402,Block Level LSLR,PUBLIC,5927 S CAMPBELL AVE,Completed,60629,16,2025-12-11 00:00:00,2025.0,12/2025,12-11,5927 S CAMPBELL AVE,54,Block Level LSLR 5927 S CAMPBELL AVE,"5927 S CAMPBELL AVE, CHICAGO, IL 60629"
873,Block Level LSLR,CONSUMER,7934 S JEFFERY BLVD,Completed,60617,8,2025-12-10 14:35:00,2025.0,12/2025,12-10,7934 S JEFFERY BLVD,55,Block Level LSLR 7934 S JEFFERY BLVD,"7934 S JEFFERY BLVD, CHICAGO, IL 60617"
690,Block Level LSLR,CONSUMER,7536 S MARSHFIELD AVE,Completed,60620,17,2025-12-10 00:00:00,2025.0,12/2025,12-10,7536 S MARSHFIELD AVE,56,Block Level LSLR 7536 S MARSHFIELD AVE,"7536 S MARSHFIELD AVE, CHICAGO, IL 60620"
880,Block Level LSLR,CONSUMER,7939 S JEFFERY BLVD,Completed,60617,8,2025-12-10 00:00:00,2025.0,12/2025,12-10,7939 S JEFFERY BLVD,57,Block Level LSLR 7939 S JEFFERY BLVD,"7939 S JEFFERY BLVD, CHICAGO, IL 60617"
698,Block Level LSLR,CONSUMER,7545 S MARSHFIELD AVE,Completed,60620,17,2025-12-10 00:00:00,2025.0,12/2025,12-10,7545 S MARSHFIELD AVE,58,Block Level LSLR 7545 S MARSHFIELD AVE,"7545 S MARSHFIELD AVE, CHICAGO, IL 60620"
691,Block Level LSLR,PUBLIC,7536 S MARSHFIELD AVE,Completed,60620,17,2025-12-10 00:00:00,2025.0,12/2025,12-10,7536 S MARSHFIELD AVE,59,Block Level LSLR 7536 S MARSHFIELD AVE,"7536 S MARSHFIELD AVE, CHICAGO, IL 60620"
457,Block Level LSLR,PUBLIC,5949 S CAMPBELL AVE,Completed,60629,16,2025-12-10 00:00:00,2025.0,12/2025,12-10,5949 S CAMPBELL AVE,60,Block Level LSLR 5949 S CAMPBELL AVE,"5949 S CAMPBELL AVE, CHICAGO, IL 60629"
872,Block Level LSLR,PUBLIC,7934 S JEFFERY BLVD,Completed,60617,8,2025-12-10 00:00:00,2025.0,12/2025,12-10,7934 S JEFFERY BLVD,61,Block Level LSLR 7934 S JEFFERY BLVD,"7934 S JEFFERY BLVD, CHICAGO, IL 60617"
463,Block Level LSLR,PUBLIC,5951 S CAMPBELL AVE,Completed,60629,16,2025-12-10 00:00:00,2025.0,12/2025,12-10,5951 S CAMPBELL AVE,62,Block Level LSLR 5951 S CAMPBELL AVE,"5951 S CAMPBELL AVE, CHICAGO, IL 60629"
462,Block Level LSLR,CONSUMER,5951 S CAMPBELL AVE,Completed,60629,16,2025-12-10 00:00:00,2025.0,12/2025,12-10,5951 S CAMPBELL AVE,63,Block Level LSLR 5951 S CAMPBELL AVE,"5951 S CAMPBELL AVE, CHICAGO, IL 60629"
881,Block Level LSLR,PUBLIC,7939 S JEFFERY BLVD,Completed,60617,8,2025-12-10 00:00:00,2025.0,12/2025,12-10,7939 S JEFFERY BLVD,64,Block Level LSLR 7939 S JEFFERY BLVD,"7939 S JEFFERY BLVD, CHICAGO, IL 60617"
456,Block Level LSLR,CONSUMER,5949 S CAMPBELL AVE,Completed,60629,16,2025-12-10 00:00:00,2025.0,12/2025,12-10,5949 S CAMPBELL AVE,65,Block Level LSLR 5949 S CAMPBELL AVE,"5949 S CAMPBELL AVE, CHICAGO, IL 60629"
449,Block Level LSLR,PUBLIC,5945 S CAMPBELL AVE,Completed,60629,16,2025-12-10 00:00:00,2025.0,12/2025,12-10,5945 S CAMPBELL AVE,66,Block Level LSLR 5945 S CAMPBELL AVE,"5945 S CAMPBELL AVE, CHICAGO, IL 60629"
448,Block Level LSLR,CONSUMER,5945 S CAMPBELL AVE,Completed,60629,16,2025-12-10 00:00:00,2025.0,12/2025,12-10,5945 S CAMPBELL AVE,67,Block Level LSLR 5945 S CAMPBELL AVE,"5945 S CAMPBELL AVE, CHICAGO, IL 60629"
699,Block Level LSLR,PUBLIC,7545 S MARSHFIELD AVE,Completed,60620,17,2025-12-10 00:00:00,2025.0,12/2025,12-10,7545 S MARSHFIELD AVE,68,Block Level LSLR 7545 S MARSHFIELD AVE,"7545 S MARSHFIELD AVE, CHICAGO, IL 60620"
75,Block Level LSLR,CONSUMER,2501 W 59TH ST,Completed,60629,16,2025-12-09 00:00:00,2025.0,12/2025,12-09,2501 W 59TH ST,69,Block Level LSLR 2501 W 59TH ST,"2501 W 59TH ST, CHICAGO, IL 60629"
76,Block Level LSLR,PUBLIC,2501 W 59TH ST,Completed,60629,16,2025-12-09 00:00:00,2025.0,12/2025,12-09,2501 W 59TH ST,70,Block Level LSLR 2501 W 59TH ST,"2501 W 59TH ST, CHICAGO, IL 60629"
851,Block Level LSLR,PUBLIC,7915 S JEFFERY BLVD,Completed,60617,8,2025-12-09 00:00:00,2025.0,12/2025,12-09,7915 S JEFFERY BLVD,71,Block Level LSLR 7915 S JEFFERY BLVD,"7915 S JEFFERY BLVD, CHICAGO, IL 60617"
850,Block Level LSLR,CONSUMER,7915 S JEFFERY BLVD,Completed,60617,8,2025-12-09 00:00:00,2025.0,12/2025,12-09,7915 S JEFFERY BLVD,72,Block Level LSLR 7915 S JEFFERY BLVD,"7915 S JEFFERY BLVD, CHICAGO, IL 60617"
849,Block Level LSLR,PUBLIC,7912 S JEFFERY BLVD,Completed,60617,8,2025-12-09 00:00:00,2025.0,12/2025,12-09,7912 S JEFFERY BLVD,73,Block Level LSLR 7912 S JEFFERY BLVD,"7912 S JEFFERY BLVD, CHICAGO, IL 60617"
848,Block Level LSLR,CONSUMER,7912 S JEFFERY BLVD,Completed,60617,8,2025-12-09 00:00:00,2025.0,12/2025,12-09,7912 S JEFFERY BLVD,74,Block Level LSLR 7912 S JEFFERY BLVD,"7912 S JEFFERY BLVD, CHICAGO, IL 60617"
398,Block Level LSLR,PUBLIC,5925 S CAMPBELL AVE,Completed,60629,16,2025-12-09 00:00:00,2025.0,12/2025,12-09,5925 S CAMPBELL AVE,75,Block Level LSLR 5925 S CAMPBELL AVE,"5925 S CAMPBELL AVE, CHICAGO, IL 60629"
693,Block Level LSLR,PUBLIC,7538 S MARSHFIELD AVE,Completed,60620,17,2025-12-09 00:00:00,2025.0,12/2025,12-09,7538 S MARSHFIELD AVE,76,Block Level LSLR 7538 S MARSHFIELD AVE,"7538 S MARSHFIELD AVE, CHICAGO, IL 60620"
692,Block Level LSLR,CONSUMER,7538 S MARSHFIELD AVE,Completed,60620,17,2025-12-09 00:00:00,2025.0,12/2025,12-09,7538 S MARSHFIELD AVE,77,Block Level LSLR 7538 S MARSHFIELD AVE,"7538 S MARSHFIELD AVE, CHICAGO, IL 60620"
689,Block Level LSLR,PUBLIC,7535 S MARSHFIELD AVE,Completed,60620,17,2025-12-09 00:00:00,2025.0,12/2025,12-09,7535 S MARSHFIELD AVE,78,Block Level LSLR 7535 S MARSHFIELD AVE,"7535 S MARSHFIELD AVE, CHICAGO, IL 60620"
688,Block Level LSLR,CONSUMER,7535 S MARSHFIELD AVE,Completed,60620,17,2025-12-09 00:00:00,2025.0,12/2025,12-09,7535 S MARSHFIELD AVE,79,Block Level LSLR 7535 S MARSHFIELD AVE,"7535 S MARSHFIELD AVE, CHICAGO, IL 60620"
397,Block Level LSLR,CONSUMER,5925 S CAMPBELL AVE,Completed,60629,16,2025-12-09 00:00:00,2025.0,12/2025,12-09,5925 S CAMPBELL AVE,80,Block Level LSLR 5925 S CAMPBELL AVE,"5925 S CAMPBELL AVE, CHICAGO, IL 60629"
695,Block Level LSLR,PUBLIC,7541 S MARSHFIELD AVE,Completed,60620,17,2025-12-08 00:00:00,2025.0,12/2025,12-08,7541 S MARSHFIELD AVE,81,Block Level LSLR 7541 S MARSHFIELD AVE,"7541 S MARSHFIELD AVE, CHICAGO, IL 60620"
439,Block Level LSLR,PUBLIC,5942 S CAMPBELL AVE,Completed,60629,16,2025-12-08 00:00:00,2025.0,12/2025,12-08,5942 S CAMPBELL AVE,82,Block Level LSLR 5942 S CAMPBELL AVE,"5942 S CAMPBELL AVE, CHICAGO, IL 60629"
855,Block Level LSLR,PUBLIC,7917 S JEFFERY BLVD,Completed,60617,8,2025-12-08 00:00:00,2025.0,12/2025,12-08,7917 S JEFFERY BLVD,83,Block Level LSLR 7917 S JEFFERY BLVD,"7917 S JEFFERY BLVD, CHICAGO, IL 60617"
854,Block Level LSLR,CONSUMER,7917 S JEFFERY BLVD,Completed,60617,8,2025-12-08 00:00:00,2025.0,12/2025,12-08,7917 S JEFFERY BLVD,84,Block Level LSLR 7917 S JEFFERY BLVD,"7917 S JEFFERY BLVD, CHICAGO, IL 60617"
853,Block Level LSLR,PUBLIC,7916 S JEFFERY BLVD,Completed,60617,8,2025-12-08 00:00:00,2025.0,12/2025,12-08,7916 S JEFFERY BLVD,85,Block Level LSLR 7916 S JEFFERY BLVD,"7916 S JEFFERY BLVD, CHICAGO, IL 60617"
694,Block Level LSLR,CONSUMER,7541 S MARSHFIELD AVE,Completed,60620,17,2025-12-08 00:00:00,2025.0,12/2025,12-08,7541 S MARSHFIELD AVE,86,Block Level LSLR 7541 S MARSHFIELD AVE,"7541 S MARSHFIELD AVE, CHICAGO, IL 60620"
852,Block Level LSLR,CONSUMER,7916 S JEFFERY BLVD,Completed,60617,8,2025-12-08 00:00:00,2025.0,12/2025,12-08,7916 S JEFFERY BLVD,87,Block Level LSLR 7916 S JEFFERY BLVD,"7916 S JEFFERY BLVD, CHICAGO, IL 60617"
438,Block Level LSLR,CONSUMER,5942 S CAMPBELL AVE,Completed,60629,16,2025-12-08 00:00:00,2025.0,12/2025,12-08,5942 S CAMPBELL AVE,88,Block Level LSLR 5942 S CAMPBELL AVE,"5942 S CAMPBELL AVE, CHICAGO, IL 60629"
376,Block Level LSLR,PUBLIC,5915 S CAMPBELL AVE,Completed,60629,16,2025-12-08 00:00:00,2025.0,12/2025,12-08,5915 S CAMPBELL AVE,89,Block Level LSLR 5915 S CAMPBELL AVE,"5915 S CAMPBELL AVE, CHICAGO, IL 60629"
395,Block Level LSLR,CONSUMER,5924 S CAMPBELL AVE,Completed,60629,16,2025-12-08 00:00:00,2025.0,12/2025,12-08,5924 S CAMPBELL AVE,90,Block Level LSLR 5924 S CAMPBELL AVE,"5924 S CAMPBELL AVE, CHICAGO, IL 60629"
375,Block Level LSLR,CONSUMER,5915 S CAMPBELL AVE,Completed,60629,16,2025-12-08 00:00:00,2025.0,12/2025,12-08,5915 S CAMPBELL AVE,91,Block Level LSLR 5915 S CAMPBELL AVE,"5915 S CAMPBELL AVE, CHICAGO, IL 60629"
396,Block Level LSLR,PUBLIC,5924 S CAMPBELL AVE,Completed,60629,16,2025-12-08 00:00:00,2025.0,12/2025,12-08,5924 S CAMPBELL AVE,92,Block Level LSLR 5924 S CAMPBELL AVE,"5924 S CAMPBELL AVE, CHICAGO, IL 60629"
686,Block Level LSLR,CONSUMER,7532 S MARSHFIELD AVE,Completed,60620,17,2025-12-08 00:00:00,2025.0,12/2025,12-08,7532 S MARSHFIELD AVE,93,Block Level LSLR 7532 S MARSHFIELD AVE,"7532 S MARSHFIELD AVE, CHICAGO, IL 60620"
687,Block Level LSLR,PUBLIC,7532 S MARSHFIELD AVE,Completed,60620,17,2025-12-08 00:00:00,2025.0,12/2025,12-08,7532 S MARSHFIELD AVE,94,Block Level LSLR 7532 S MARSHFIELD AVE,"7532 S MARSHFIELD AVE, CHICAGO, IL 60620"
388,Block Level LSLR,PUBLIC,5920 S CAMPBELL AVE,Completed,60629,16,2025-12-05 00:00:00,2025.0,12/2025,12-05,5920 S CAMPBELL AVE,95,Block Level LSLR 5920 S CAMPBELL AVE,"5920 S CAMPBELL AVE, CHICAGO, IL 60629"
857,Block Level LSLR,PUBLIC,7923 S JEFFERY BLVD,Completed,60617,8,2025-12-05 00:00:00,2025.0,12/2025,12-05,7923 S JEFFERY BLVD,96,Block Level LSLR 7923 S JEFFERY BLVD,"7923 S JEFFERY BLVD, CHICAGO, IL 60617"
387,Block Level LSLR,CONSUMER,5920 S CAMPBELL AVE,Completed,60629,16,2025-12-05 00:00:00,2025.0,12/2025,12-05,5920 S CAMPBELL AVE,97,Block Level LSLR 5920 S CAMPBELL AVE,"5920 S CAMPBELL AVE, CHICAGO, IL 60629"
856,Block Level LSLR,CONSUMER,7923 S JEFFERY BLVD,Completed,60617,8,2025-12-05 00:00:00,2025.0,12/2025,12-05,7923 S JEFFERY BLVD,98,Block Level LSLR 7923 S JEFFERY BLVD,"7923 S JEFFERY BLVD, CHICAGO, IL 60617"
858,Block Level LSLR,CONSUMER,7924 S JEFFERY BLVD,Completed,60617,8,2025-12-05 00:00:00,2025.0,12/2025,12-05,7924 S JEFFERY BLVD,99,Block Level LSLR 7924 S JEFFERY BLVD,"7924 S JEFFERY BLVD, CHICAGO, IL 60617"
859,Block Level LSLR,PUBLIC,7924 S JEFFERY BLVD,Completed,60617,8,2025-12-05 00:00:00,2025.0,12/2025,12-05,7924 S JEFFERY BLVD,100,Block Level LSLR 7924 S JEFFERY BLVD,"7924 S JEFFERY BLVD, CHICAGO, IL 60617"
384,Block Level LSLR,PUBLIC,5919 S CAMPBELL AVE,Completed,60629,16,2025-12-05 00:00:00,2025.0,12/2025,12-05,5919 S CAMPBELL AVE,101,Block Level LSLR 5919 S CAMPBELL AVE,"5919 S CAMPBELL AVE, CHICAGO, IL 60629"
